pickle_encode_ms,model_request_infer_ms,inference_time_ms,total_gateway_ms
6.404748186469078,1506.8318657577038,405.645,2513.4083963930607
6.863050162792206,1269.623400643468,401.469,1634.8151061683893
7.109241560101509,1365.489449352026,408.739,1669.3971119821072
7.704772055149078,1323.2294209301472,408.303,1331.86992444098
6.1119478195905685,976.4301404356956,402.098,983.476173132658
7.4274130165576935,1407.854799181223,419.2,2645.406909286976
6.215505301952362,1361.3486718386412,401.743,1633.306872099638
7.614029571413994,1375.7362943142653,409.827,2085.630601271987
6.671467795968056,1066.9097192585468,404.842,1085.8079977333546
12.126894667744637,1188.9845989644527,410.963,3058.1153091043234
6.1308275908231735,992.5163872539997,406.688,1097.0038827508688
7.117940112948418,1488.218866288662,410.719,2664.2563194036484
6.443805992603302,1066.6994731873274,405.531,1074.2464866489172
7.58751668035984,1400.6637036800385,407.792,3101.832067593932
6.23193196952343,1122.8745933622122,403.408,1130.1659662276506
6.3570961356163025,1087.201675400138,410.372,1876.1639725416899
6.074557080864906,1165.5904278159142,413.913,1339.1863759607077
13.926910236477852,961.9140680879354,92.101,2318.9441692084074
6.353020668029785,962.446141988039,289.385,1236.3870572298765
6.81544654071331,1178.3900298178196,406.324,1861.2703196704388
5.971033126115799,1358.599254861474,405.798,1365.580651909113
6.873773410916328,1003.6740005016327,405.849,1011.6060171276331
7.154302671551704,1076.6776017844677,415.778,1234.9595949053764
7.005952298641205,904.0711019188166,406.744,1263.854594901204
6.239362061023712,1074.1267446428537,407.982,2182.4618689715862
6.875833496451378,894.2141272127628,412.302,941.6858796030283
6.833121180534363,913.7329384684563,404.837,1019.3371493369341
6.838154047727585,839.3317051231861,405.847,890.0301493704319
7.280504330992699,1000.7219891995192,424.554,1587.784219533205
8.073702454566956,928.2346591353416,404.699,1130.9477910399437
6.940431892871857,1137.2343432158232,399.932,1726.4578826725483
8.318189531564713,1204.1411269456148,405.738,1213.5257702320814
7.1571990847587585,862.9743624478579,416.37,871.404817327857
6.702503189444542,1106.9622710347176,415.625,3041.0944055765867
6.084999069571495,878.4060273319483,402.165,1103.774517774582
7.296331226825714,873.4588399529457,399.497,1817.0271664857864
6.095344200730324,822.2699109464884,398.948,907.5961150228977
6.6086240112781525,786.6316698491573,406.309,2107.4489559978247
6.581924855709076,789.1488075256348,406.557,1078.5497035831213
6.856322288513184,899.7143115848303,415.277,2049.4723208248615
6.079312413930893,657.310301437974,410.733,664.3171831965446
8.146639913320541,902.7372729033232,412.774,1370.2076636254787
6.817173212766647,949.3913967162371,401.077,957.2827480733395
6.389886140823364,703.2747883349657,400.619,710.7386998832226
5.932645872235298,710.4680091142654,410.499,1448.3454413712025
6.7274682223796844,665.3784140944481,397.563,673.1925308704376
6.084728986024857,607.7796760946512,413.635,1478.441596031189
6.506070494651794,590.6642246991396,396.65,684.1743439435959
6.554745137691498,695.2752582728863,410.577,1696.3120494037867
6.71355240046978,674.5030358433723,395.971,786.0199455171824
5.869923159480095,843.0673386901617,414.607,2721.898363903165
7.06121139228344,702.5907672941685,410.426,710.673226043582
6.244370713829994,618.2903442531824,405.219,626.8297228962183
7.269423454999924,834.4381898641586,407.025,1944.8951240628958
5.824126303195953,616.6994348168373,398.503,623.5072109848261
6.792929023504257,3001.888269558549,402.807,3239.382389932871
6.24416396021843,2176.061350852251,410.497,2183.1941474229097
9.03831422328949,3181.33488483727,415.768,4978.96951623261
7.083375006914139,2030.003871768713,401.969,2356.138125061989
7.61190801858902,1986.3476678729057,426.054,3682.784367352724
6.305506452918053,3526.0881576687098,525.554,3533.338639885187
7.535420358181,1696.8606263399124,424.356,1705.4390292614698
7.396552711725235,2013.2571402937174,539.529,2155.2077513188124
6.872357800602913,1398.1737829744816,378.444,1406.2045104801655
4.894237965345383,2626.1972449719906,393.14,2632.0949494838715
7.105465978384018,1969.4022499024868,408.094,2463.492823764682
10.830715298652649,2120.292641222477,502.652,2673.2464507222176
7.194047793745995,2115.2842435985804,451.406,3426.8256910145283
6.77952915430069,1577.6269026100636,471.767,1883.0337151885033
8.886326104402542,2692.2446340322495,322.598,4328.946402296424
6.309064105153084,2332.598876208067,323.217,2660.10445356369
8.20687785744667,2735.230704769492,546.683,3257.832318544388
6.454614922404289,2130.8484505861998,519.559,2312.7766009420156
7.10115022957325,2057.982664555311,351.11,2760.2613531053066
11.554833501577377,1895.7874309271574,427.032,2595.0819347053766
7.331375032663345,2296.0642222315073,326.815,3632.621608674526
6.335899233818054,1622.1092361956835,402.649,2159.037481993437
6.841065362095833,2153.863374143839,438.645,3044.388882815838
6.785973906517029,1512.0670162141323,523.309,1663.267919793725
